Estado;Observaciones;Equipo 1;Resultado;Equipo 2;Árbitros;Fecha;Hora;Lugar;Jornada;Grupo;Estado de la competición;Competición;Deporte
;;F.S Union La Salut Badalona B;-;Atlètic Sant Boi;;02/06/2018;16:00;Polideportivo Municipal Llefia;Jornada 29;2a. Territorial A;;04. 2ª Territorial 2017-2018;Fútbol sala
;;Ca La Guidó Futsal;-;Vilobí F.S.;KEVIN ORTIZ MONGE -  MIGUEL ANGEL MONGE PEREZ;02/06/2018;17:00;Ciutat Esportiva Blanes -  Blanes -  Espanya;Jornada 7;"COPA FEDERACIÓ GIRONA GRUP ""B""";;COPA FEDERACIÓ GIRONA;Fútbol sala
;;***RETIRAT COPA***C.f.s. Alfarràs;-;Bar Passadis Dynamo Cervera F.s.;;02/06/2018;17:00;;Jornada 7;"COPA FEDERACIÓ LLEIDA GRUP ""B""";;COPA LLEIDA;Fútbol sala
;;*BAIXA COPA*Futbol Sala Altorricon;-;C.F.S. Ponts;;02/06/2018;17:00;;Jornada 8;"COPA FEDERACIÓ LLEIDA GRUP ""A""";;COPA LLEIDA;Fútbol sala
;;CFS Sagrada Familia;-;Penya Recreativa Sant Feliu de Llobregat;;02/06/2018;17:00;Passeig Marítim de la Barceloneta -  33 -  08003 Barcelona;Jornada 26;1a Territorial B;;03. 1a Territorial 2017-2018;Fútbol sala
;;F.S Fontcoberta;-;*RETIRADA COPA*Atlètic Vidreres B;;02/06/2018;17:30;;Jornada 7;"COPA FEDERACIÓ GIRONA GRUP ""B""";;COPA FEDERACIÓ GIRONA;Fútbol sala
;;*RETIRAT COPA*Restaurant 2007 La Fuliola;-;"F.S. Borges ""B""";;02/06/2018;17:30;;Jornada 8;"COPA FEDERACIÓ LLEIDA GRUP ""A""";;COPA LLEIDA;Fútbol sala
;;*RETIRAT COPA*Futbol Sala Femeni Lloret de Mar;-;*RETIRAT COPA*C.E. Orange Papiol Femení;;02/06/2018;18:00;;Jornada 6;"COPA FEMENINA GRUP ""B""";;COPA FEMENINA;Fútbol sala
;;*RETIRAT COPA*F.s. Porqueres B;-;Joves de Vidreres C.F.S.;;02/06/2018;18:00;;Jornada 7;"COPA FEDERACIÓ GIRONA GRUP ""A""";;COPA FEDERACIÓ GIRONA;Fútbol sala
;;F.s. Borges;-;A.E. Tiana;FRANCISCO JUAN INGLES PAREJA -  LLUIS GONZALEZ BEAS -  OSCAR CRUZ OSUNA;02/06/2018;18:00;PAVELLO MUNICIPAL DE LES BORGES BLANQUES;Jornada 26;NACIONAL CATALANA 2017-18;;01. Nacional Catalana 2017-2018;Fútbol sala
